""
"Test Method","brazil.msm"
"Sample I. D.","Sample2.mss"
"Specimen Number","2"

"Load (N)","Time (s)","Extension (in)","Stress (ksi)","Strain (%)"

12.52,0.000,-0.00298,0.025,-0.149
12.59,0.100,-0.00298,0.025,-0.149
12.52,0.600,-0.00297,0.025,-0.149
12.64,1.000,-0.00296,0.025,-0.148
12.57,1.400,-0.00294,0.025,-0.147
12.73,1.800,-0.00292,0.026,-0.146
12.57,2.200,-0.00290,0.025,-0.145
12.65,2.600,-0.00288,0.025,-0.144
12.57,3.000,-0.00286,0.025,-0.143
12.67,3.400,-0.00284,0.025,-0.142
12.74,3.800,-0.00282,0.026,-0.141
12.71,4.200,-0.00279,0.026,-0.139
12.62,4.600,-0.00276,0.025,-0.138
12.68,5.000,-0.00273,0.025,-0.137
12.58,5.400,-0.00270,0.025,-0.135
12.70,5.800,-0.00268,0.025,-0.134
12.67,6.200,-0.00266,0.025,-0.133
12.63,6.600,-0.00264,0.025,-0.132
12.90,7.000,-0.00261,0.026,-0.131
12.84,7.400,-0.00258,0.026,-0.129
12.90,7.800,-0.00253,0.026,-0.127
12.90,8.200,-0.00248,0.026,-0.124
12.84,8.600,-0.00243,0.026,-0.122
12.80,9.000,-0.00239,0.026,-0.120
12.92,9.400,-0.00237,0.026,-0.118
12.89,9.800,-0.00234,0.026,-0.117
12.77,10.200,-0.00232,0.026,-0.116
12.78,10.600,-0.00229,0.026,-0.114
13.09,11.000,-0.00226,0.026,-0.113
12.96,11.400,-0.00223,0.026,-0.112
12.96,11.800,-0.00220,0.026,-0.110
12.90,12.200,-0.00218,0.026,-0.109
12.93,12.600,-0.00215,0.026,-0.107
12.90,13.000,-0.00212,0.026,-0.106
12.49,13.400,-0.00209,0.025,-0.104
12.96,13.800,-0.00205,0.026,-0.103
12.85,14.200,-0.00201,0.026,-0.100
12.90,14.600,-0.00195,0.026,-0.098
12.98,15.000,-0.00191,0.026,-0.095
12.95,15.400,-0.00187,0.026,-0.093
12.73,15.800,-0.00183,0.026,-0.091
12.96,16.200,-0.00180,0.026,-0.090
12.76,16.600,-0.00178,0.026,-0.089
12.76,17.000,-0.00175,0.026,-0.088
12.69,17.400,-0.00173,0.025,-0.086
12.90,17.800,-0.00170,0.026,-0.085
12.85,18.200,-0.00167,0.026,-0.083
12.85,18.600,-0.00164,0.026,-0.082
12.75,19.000,-0.00161,0.026,-0.081
12.95,19.400,-0.00158,0.026,-0.079
12.71,19.800,-0.00155,0.025,-0.078
12.76,20.200,-0.00152,0.026,-0.076
12.91,20.600,-0.00148,0.026,-0.074
12.85,21.000,-0.00143,0.026,-0.072
13.18,21.400,-0.00138,0.026,-0.069
13.37,21.800,-0.00133,0.027,-0.067
13.67,22.200,-0.00129,0.027,-0.065
13.54,22.600,-0.00127,0.027,-0.063
13.38,23.000,-0.00124,0.027,-0.062
13.37,23.400,-0.00121,0.027,-0.061
13.43,23.800,-0.00119,0.027,-0.059
13.40,24.200,-0.00116,0.027,-0.058
13.51,24.600,-0.00113,0.027,-0.057
13.44,25.000,-0.00110,0.027,-0.055
13.49,25.400,-0.00108,0.027,-0.054
13.56,25.800,-0.00105,0.027,-0.052
13.49,26.200,-0.00102,0.027,-0.051
13.66,26.600,-0.00099,0.027,-0.049
13.55,27.000,-0.00096,0.027,-0.048
13.97,27.400,-0.00091,0.028,-0.046
13.86,27.800,-0.00086,0.028,-0.043
14.16,28.200,-0.00081,0.028,-0.040
14.21,28.600,-0.00076,0.029,-0.038
14.14,29.000,-0.00073,0.028,-0.036
14.13,29.400,-0.00070,0.028,-0.035
14.23,29.800,-0.00068,0.029,-0.034
14.30,30.200,-0.00065,0.029,-0.032
14.27,30.600,-0.00062,0.029,-0.031
14.34,31.000,-0.00060,0.029,-0.030
14.71,31.400,-0.00057,0.030,-0.028
14.75,31.800,-0.00054,0.030,-0.027
15.68,32.200,-0.00051,0.031,-0.026
16.62,32.600,-0.00048,0.033,-0.024
17.20,33.000,-0.00045,0.035,-0.023
18.24,33.400,-0.00042,0.037,-0.021
19.26,33.800,-0.00039,0.039,-0.019
20.91,34.200,-0.00034,0.042,-0.017
22.77,34.600,-0.00028,0.046,-0.014
24.40,35.000,-0.00024,0.049,-0.012
26.08,35.400,-0.00020,0.052,-0.010
26.88,35.800,-0.00016,0.054,-0.008
27.70,36.200,-0.00014,0.056,-0.007
28.90,36.600,-0.00011,0.058,-0.006
29.67,37.000,-0.00009,0.060,-0.004
30.50,37.400,-0.00006,0.061,-0.003
31.80,37.800,-0.00003,0.064,-0.002
32.65,38.200,0.00000,0.066,0.000
33.88,38.600,0.00002,0.068,0.001
35.01,39.000,0.00005,0.070,0.003
36.05,39.400,0.00008,0.072,0.004
37.04,39.800,0.00011,0.074,0.005
38.43,40.200,0.00014,0.077,0.007
40.13,40.600,0.00019,0.081,0.009
42.35,41.000,0.00024,0.085,0.012
44.70,41.400,0.00029,0.090,0.014
