Test Method,brazil.msm,,,
14.23,29.8,-0.00068,0.029,-0.034
14.3,30.2,-0.00065,0.029,-0.032
14.27,30.6,-0.00062,0.029,-0.031
14.34,31,-0.0006,0.029,-0.03
14.71,31.4,-0.00057,0.03,-0.028
14.75,31.8,-0.00054,0.03,-0.027
15.68,32.2,-0.00051,0.031,-0.026
16.62,32.6,-0.00048,0.033,-0.024
17.2,33,-0.00045,0.035,-0.023
18.24,33.4,-0.00042,0.037,-0.021
19.26,33.8,-0.00039,0.039,-0.019
20.91,34.2,-0.00034,0.042,-0.017
22.77,34.6,-0.00028,0.046,-0.014
24.4,35,-0.00024,0.049,-0.012
26.08,35.4,-0.0002,0.052,-0.01
26.88,35.8,-0.00016,0.054,-0.008
27.7,36.2,-0.00014,0.056,-0.007
28.9,36.6,-0.00011,0.058,-0.006
29.67,37,-0.00009,0.06,-0.004
30.5,37.4,-0.00006,0.061,-0.003
31.8,37.8,-0.00003,0.064,-0.002
32.65,38.2,0,0.066,0
33.88,38.6,0.00002,0.068,0.001
35.01,39,0.00005,0.07,0.003
36.05,39.4,0.00008,0.072,0.004
37.04,39.8,0.00011,0.074,0.005
38.43,40.2,0.00014,0.077,0.007
40.13,40.6,0.00019,0.081,0.009
42.35,41,0.00024,0.085,0.012
44.7,41.4,0.00029,0.09,0.014
46.26,41.8,0.00033,0.093,0.017
47.89,42.2,0.00037,0.096,0.019
49.02,42.6,0.0004,0.098,0.02
49.93,43,0.00043,0.1,0.021
51.02,43.4,0.00045,0.102,0.022
52.24,43.8,0.00048,0.105,0.024
53.22,44.2,0.0005,0.107,0.025
54.47,44.6,0.00053,0.109,0.027
55.45,45,0.00056,0.111,0.028
56.76,45.4,0.00059,0.114,0.029
57.77,45.8,0.00062,0.116,0.031
59.04,46.2,0.00065,0.118,0.032
60.21,46.6,0.00068,0.121,0.034
62.17,47,0.00071,0.125,0.036
64.1,47.4,0.00076,0.129,0.038
66.21,47.8,0.00082,0.133,0.041
68.36,48.2,0.00086,0.137,0.043
70.15,48.6,0.0009,0.141,0.045
71.59,49,0.00094,0.144,0.047
72.57,49.4,0.00096,0.146,0.048
73.68,49.8,0.00099,0.148,0.049
74.64,50.2,0.00101,0.15,0.051
76.01,50.6,0.00104,0.152,0.052
76.85,51,0.00107,0.154,0.053
78.14,51.4,0.0011,0.157,0.055
79.29,51.8,0.00112,0.159,0.056
80.74,52.2,0.00115,0.162,0.058
81.94,52.6,0.00118,0.164,0.059
83.18,53,0.00121,0.167,0.061
84.56,53.4,0.00124,0.17,0.062
86.48,53.8,0.00128,0.173,0.064
88.68,54.2,0.00134,0.178,0.067
91.1,54.6,0.00139,0.183,0.069
93.22,55,0.00143,0.187,0.072
94.87,55.4,0.00147,0.19,0.074
95.89,55.8,0.0015,0.192,0.075
97.06,56.2,0.00153,0.195,0.076
98.09,56.6,0.00155,0.197,0.078
99.22,57,0.00158,0.199,0.079
100.41,57.4,0.00161,0.201,0.08
101.69,57.8,0.00163,0.204,0.082
102.86,58.2,0.00166,0.206,0.083
104.1,58.6,0.00169,0.209,0.085
105.41,59,0.00172,0.211,0.086
106.75,59.4,0.00175,0.214,0.087
107.96,59.8,0.00178,0.217,0.089
109.61,60.2,0.00181,0.22,0.09
111.53,60.6,0.00185,0.224,0.093
114.44,61,0.00191,0.23,0.095
116.74,61.4,0.00196,0.234,0.098
118.58,61.8,0.002,0.238,0.1
120.59,62.2,0.00204,0.242,0.102
121.71,62.6,0.00206,0.244,0.103
122.77,63,0.00209,0.246,0.104
123.91,63.4,0.00211,0.249,0.106
125.01,63.8,0.00214,0.251,0.107
126.38,64.2,0.00217,0.254,0.108
127.65,64.6,0.0022,0.256,0.11
129.07,65,0.00222,0.259,0.111
130.11,65.4,0.00225,0.261,0.113
131.68,65.8,0.00228,0.264,0.114
132.94,66.2,0.00231,0.267,0.115
134.29,66.6,0.00234,0.269,0.117
136.22,67,0.00238,0.273,0.119
138.64,67.4,0.00243,0.278,0.121
141.47,67.8,0.00248,0.284,0.124
143.59,68.2,0.00253,0.288,0.126
145.56,68.6,0.00257,0.292,0.128
146.96,69,0.0026,0.295,0.13
148.17,69.4,0.00263,0.297,0.131
149.19,69.8,0.00265,0.299,0.132
150.41,70.2,0.00268,0.302,0.134
151.69,70.6,0.0027,0.304,0.135
153.05,71,0.00273,0.307,0.137
154.45,71.4,0.00276,0.31,0.138
155.94,71.8,0.00279,0.313,0.139
157.23,72.2,0.00282,0.315,0.141
158.51,72.6,0.00285,0.318,0.142
159.83,73,0.00288,0.321,0.144
161.59,73.4,0.00291,0.324,0.145
163.73,73.8,0.00295,0.328,0.147
166.47,74.2,0.003,0.334,0.15
168.95,74.6,0.00305,0.339,0.153
171.15,75,0.0031,0.343,0.155
173.03,75.4,0.00313,0.347,0.157
174.39,75.8,0.00316,0.35,0.158
175.45,76.2,0.00319,0.352,0.159
176.72,76.6,0.00321,0.355,0.161
177.87,77,0.00324,0.357,0.162
179.16,77.4,0.00327,0.359,0.163
180.45,77.8,0.0033,0.362,0.165
181.91,78.2,0.00332,0.365,0.166
183.32,78.6,0.00335,0.368,0.168
184.73,79,0.00338,0.371,0.169
186.18,79.4,0.00341,0.374,0.17
187.73,79.8,0.00344,0.377,0.172
189.4,80.2,0.00348,0.38,0.174
192,80.6,0.00352,0.385,0.176
194.91,81,0.00358,0.391,0.179
197.42,81.4,0.00363,0.396,0.181
199.7,81.8,0.00367,0.401,0.183
201.31,82.2,0.0037,0.404,0.185
202.43,82.6,0.00372,0.406,0.186
203.44,83,0.00375,0.408,0.188
204.62,83.4,0.00378,0.41,0.189
205.88,83.8,0.0038,0.413,0.19
207.3,84.2,0.00383,0.416,0.192
208.67,84.6,0.00386,0.419,0.193
210.04,85,0.00389,0.421,0.194
211.41,85.4,0.00392,0.424,0.196
212.99,85.8,0.00395,0.427,0.197
214.21,86.2,0.00397,0.43,0.199
215.91,86.6,0.00401,0.433,0.2
218.08,87,0.00405,0.437,0.202
220.85,87.4,0.0041,0.443,0.205
223.69,87.8,0.00415,0.449,0.208
226,88.2,0.0042,0.453,0.21
228.14,88.6,0.00423,0.458,0.212
229.21,89,0.00426,0.46,0.213
230.41,89.4,0.00429,0.462,0.214
231.77,89.8,0.00431,0.465,0.216
232.91,90.2,0.00434,0.467,0.217
234.23,90.6,0.00437,0.47,0.218
235.47,91,0.0044,0.472,0.22
237.11,91.4,0.00442,0.476,0.221
238.48,91.8,0.00445,0.478,0.223
239.92,92.2,0.00448,0.481,0.224
241.28,92.6,0.00451,0.484,0.225
242.82,93,0.00454,0.487,0.227
244.62,93.4,0.00457,0.491,0.229
247.03,93.8,0.00462,0.496,0.231
250.05,94.2,0.00467,0.502,0.234
252.62,94.6,0.00472,0.507,0.236
254.76,95,0.00477,0.511,0.238
256.49,95.4,0.0048,0.515,0.24
257.84,95.8,0.00483,0.517,0.241
258.77,96.2,0.00485,0.519,0.243
260.25,96.6,0.00488,0.522,0.244
261.42,97,0.0049,0.524,0.245
262.89,97.4,0.00493,0.527,0.247
264.39,97.8,0.00496,0.53,0.248
265.95,98.2,0.00499,0.534,0.249
267.37,98.6,0.00502,0.536,0.251
268.8,99,0.00505,0.539,0.252
270.09,99.4,0.00507,0.542,0.254
271.8,99.8,0.00511,0.545,0.255
273.87,100.2,0.00515,0.549,0.257
276.74,100.6,0.0052,0.555,0.26
279.62,101,0.00525,0.561,0.262
281.85,101.4,0.00529,0.565,0.265
284.17,101.8,0.00533,0.57,0.267
285.63,102.2,0.00536,0.573,0.268
286.84,102.6,0.00539,0.575,0.27
288.01,103,0.00541,0.578,0.271
289.4,103.4,0.00544,0.581,0.272
290.55,103.8,0.00547,0.583,0.273
292.19,104.2,0.0055,0.586,0.275
293.45,104.6,0.00552,0.589,0.276
294.82,105,0.00556,0.591,0.278
296.22,105.4,0.00558,0.594,0.279
297.55,105.8,0.00561,0.597,0.281
299.21,106.2,0.00564,0.6,0.282
300.92,106.6,0.00567,0.604,0.284
303.37,107,0.00572,0.609,0.286
306.6,107.4,0.00577,0.615,0.289
309.18,107.8,0.00582,0.62,0.291
311.47,108.2,0.00586,0.625,0.293
313.1,108.6,0.0059,0.628,0.295
314.52,109,0.00593,0.631,0.296
315.77,109.4,0.00595,0.633,0.298
317.22,109.8,0.00598,0.636,0.299
318.41,110.2,0.006,0.639,0.3
319.69,110.6,0.00603,0.641,0.302
321.02,111,0.00606,0.644,0.303
322.46,111.4,0.00609,0.647,0.304
323.89,111.8,0.00612,0.65,0.306
325.39,112.2,0.00615,0.653,0.307
326.88,112.6,0.00617,0.656,0.309
328.27,113,0.00621,0.659,0.31
330.33,113.4,0.00624,0.663,0.312
333.21,113.8,0.00629,0.668,0.315
336.18,114.2,0.00635,0.674,0.317
338.67,114.6,0.00639,0.679,0.32
340.83,115,0.00643,0.684,0.322
342.32,115.4,0.00646,0.687,0.323
343.4,115.8,0.00649,0.689,0.324
344.59,116.2,0.00651,0.691,0.326
345.85,116.6,0.00654,0.694,0.327
347.33,117,0.00657,0.697,0.328
348.6,117.4,0.00659,0.699,0.33
349.98,117.8,0.00662,0.702,0.331
351.56,118.2,0.00665,0.705,0.333
353.15,118.6,0.00668,0.708,0.334
354.65,119,0.00671,0.711,0.335
356.06,119.4,0.00674,0.714,0.337
357.9,119.8,0.00677,0.718,0.339
359.98,120.2,0.00681,0.722,0.341
362.96,120.6,0.00686,0.728,0.343
365.82,121,0.00691,0.734,0.346
368.5,121.4,0.00696,0.739,0.348
370.52,121.8,0.007,0.743,0.35
371.87,122.2,0.00703,0.746,0.351
372.94,122.6,0.00705,0.748,0.353
374.25,123,0.00708,0.751,0.354
375.6,123.4,0.00711,0.753,0.355
376.97,123.8,0.00713,0.756,0.357
378.4,124.2,0.00716,0.759,0.358
379.7,124.6,0.00719,0.762,0.359
381.41,125,0.00722,0.765,0.361
382.79,125.4,0.00725,0.768,0.362
384.24,125.8,0.00727,0.771,0.364
385.82,126.2,0.0073,0.774,0.365
387.78,126.6,0.00734,0.778,0.367
390.43,127,0.00739,0.783,0.369
393.52,127.4,0.00744,0.789,0.372
396.2,127.8,0.00749,0.795,0.374
398.47,128.2,0.00753,0.799,0.377
400.35,128.6,0.00757,0.803,0.378
401.42,129,0.00759,0.805,0.38
402.8,129.4,0.00762,0.808,0.381
404.05,129.8,0.00764,0.811,0.382
405.36,130.2,0.00767,0.813,0.383
406.73,130.6,0.0077,0.816,0.385
408.33,131,0.00772,0.819,0.386
409.7,131.4,0.00775,0.822,0.388
411.17,131.8,0.00778,0.825,0.389
412.95,132.2,0.00781,0.828,0.391
414.18,132.6,0.00784,0.831,0.392
415.91,133,0.00787,0.834,0.394
418.03,133.4,0.00791,0.839,0.396
421.22,133.8,0.00796,0.845,0.398
424.17,134.2,0.00801,0.851,0.401
426.39,134.6,0.00806,0.855,0.403
428.49,135,0.0081,0.86,0.405
429.92,135.4,0.00813,0.862,0.406
431.09,135.8,0.00815,0.865,0.408
432.45,136.2,0.00818,0.868,0.409
433.67,136.6,0.0082,0.87,0.41
435.2,137,0.00823,0.873,0.412
436.42,137.4,0.00826,0.876,0.413
437.93,137.8,0.00829,0.879,0.414
439.6,138.2,0.00832,0.882,0.416
440.8,138.6,0.00834,0.884,0.417
442.29,139,0.00837,0.887,0.419
443.82,139.4,0.0084,0.89,0.42
445.71,139.8,0.00844,0.894,0.422
448.36,140.2,0.00848,0.899,0.424
451.61,140.6,0.00854,0.906,0.427
454.23,141,0.00859,0.911,0.429
456.4,141.4,0.00863,0.916,0.431
458.71,141.8,0.00866,0.92,0.433
459.73,142.2,0.00869,0.922,0.434
460.94,142.6,0.00872,0.925,0.436
462.2,143,0.00874,0.927,0.437
463.58,143.4,0.00877,0.93,0.438
464.77,143.8,0.0088,0.932,0.44
466.38,144.2,0.00882,0.936,0.441
467.91,144.6,0.00885,0.939,0.443
469.26,145,0.00888,0.941,0.444
470.45,145.4,0.00891,0.944,0.445
472.15,145.8,0.00894,0.947,0.447
473.75,146.2,0.00897,0.95,0.448
475.85,146.6,0.00901,0.955,0.45
478.53,147,0.00906,0.96,0.453
481.73,147.4,0.00911,0.966,0.455
484.35,147.8,0.00916,0.972,0.458
486.49,148.2,0.0092,0.976,0.46
487.97,148.6,0.00923,0.979,0.461
489.22,149,0.00925,0.981,0.463
490.31,149.4,0.00928,0.984,0.464
491.61,149.8,0.0093,0.986,0.465
493.1,150.2,0.00933,0.989,0.467
494.5,150.6,0.00936,0.992,0.468
495.81,151,0.00939,0.995,0.469
497.38,151.4,0.00942,0.998,0.471
498.63,151.8,0.00944,1,0.472
500.01,152.2,0.00947,1.003,0.474
501.62,152.6,0.0095,1.006,0.475
503.46,153,0.00954,1.01,0.477
505.79,153.4,0.00958,1.015,0.479
509.12,153.8,0.00963,1.021,0.481
511.67,154.2,0.00968,1.026,0.484
514.05,154.6,0.00972,1.031,0.486
516.3,155,0.00976,1.036,0.488
517.47,155.4,0.00979,1.038,0.489
518.66,155.8,0.00982,1.04,0.491
519.93,156.2,0.00984,1.043,0.492
521.29,156.6,0.00987,1.046,0.493
522.5,157,0.00989,1.048,0.495
523.82,157.4,0.00992,1.051,0.496
525.21,157.8,0.00995,1.054,0.498
526.79,158.2,0.00998,1.057,0.499
528.3,158.6,0.01001,1.06,0.5
529.86,159,0.01004,1.063,0.502
531.3,159.4,0.01007,1.066,0.503
533.18,159.8,0.0101,1.07,0.505
535.95,160.2,0.01015,1.075,0.507
539.28,160.6,0.0102,1.082,0.51
541.88,161,0.01025,1.087,0.513
544.3,161.4,0.01029,1.092,0.515
545.98,161.8,0.01033,1.095,0.516
547.22,162.2,0.01035,1.098,0.518
548.27,162.6,0.01038,1.1,0.519
549.49,163,0.0104,1.102,0.52
550.9,163.4,0.01043,1.105,0.522
552.13,163.8,0.01046,1.108,0.523
553.65,164.2,0.01049,1.111,0.524
555.01,164.6,0.01052,1.113,0.526
556.4,165,0.01054,1.116,0.527
558,165.4,0.01057,1.119,0.529
559.56,165.8,0.0106,1.123,0.53
561.11,166.2,0.01063,1.126,0.532
563.32,166.6,0.01068,1.13,0.534
566.79,167,0.01073,1.137,0.536
569.7,167.4,0.01078,1.143,0.539
571.87,167.8,0.01082,1.147,0.541
574.16,168.2,0.01086,1.152,0.543
575.66,168.6,0.01089,1.155,0.544
576.62,169,0.01092,1.157,0.546
578.01,169.4,0.01094,1.16,0.547
579.2,169.8,0.01097,1.162,0.548
580.34,170.2,0.01099,1.164,0.55
581.98,170.6,0.01102,1.168,0.551
583.09,171,0.01105,1.17,0.553
584.75,171.4,0.01108,1.173,0.554
586.25,171.8,0.01111,1.176,0.555
587.59,172.2,0.01114,1.179,0.557
589.2,172.6,0.01117,1.182,0.558
591.1,173,0.0112,1.186,0.56
593.48,173.4,0.01125,1.191,0.562
596.69,173.8,0.0113,1.197,0.565
599.44,174.2,0.01135,1.203,0.567
601.55,174.6,0.01139,1.207,0.569
603.51,175,0.01143,1.211,0.571
604.67,175.4,0.01145,1.213,0.573
606.07,175.8,0.01148,1.216,0.574
607.06,176.2,0.01151,1.218,0.575
608.22,176.6,0.01153,1.22,0.577
609.73,177,0.01156,1.223,0.578
610.89,177.4,0.01159,1.226,0.579
612.62,177.8,0.01161,1.229,0.581
613.68,178.2,0.01164,1.231,0.582
615.07,178.6,0.01167,1.234,0.584
616.7,179,0.0117,1.237,0.585
618.41,179.4,0.01173,1.241,0.587
620.48,179.8,0.01177,1.245,0.589
623.05,180.2,0.01182,1.25,0.591
626.49,180.6,0.01187,1.257,0.594
629.15,181,0.01192,1.262,0.596
631.43,181.4,0.01196,1.267,0.598
632.74,181.8,0.01199,1.269,0.6
634.02,182.2,0.01202,1.272,0.601
635.23,182.6,0.01204,1.274,0.602
636.21,183,0.01207,1.276,0.603
637.43,183.4,0.0121,1.279,0.605
638.76,183.8,0.01212,1.281,0.606
640.02,184.2,0.01215,1.284,0.608
641.69,184.6,0.01218,1.287,0.609
642.93,185,0.01221,1.29,0.61
644.49,185.4,0.01224,1.293,0.612
646.04,185.8,0.01227,1.296,0.613
647.68,186.2,0.0123,1.299,0.615
649.92,186.6,0.01234,1.304,0.617
653.07,187,0.01239,1.31,0.62
656.06,187.4,0.01244,1.316,0.622
658.38,187.8,0.01249,1.321,0.624
660.27,188.2,0.01253,1.325,0.626
661.66,188.6,0.01255,1.327,0.628
662.9,189,0.01258,1.33,0.629
663.93,189.4,0.01261,1.332,0.63
665.25,189.8,0.01263,1.335,0.631
666.46,190.2,0.01266,1.337,0.633
667.93,190.6,0.01269,1.34,0.634
669.4,191,0.01271,1.343,0.636
670.76,191.4,0.01274,1.346,0.637
671.99,191.8,0.01277,1.348,0.639
673.57,192.2,0.0128,1.351,0.64
674.99,192.6,0.01283,1.354,0.642
676.74,193,0.01287,1.358,0.643
678.82,193.4,0.01291,1.362,0.646
682.05,193.8,0.01297,1.368,0.648
684.41,194.2,0.01301,1.373,0.651
686.42,194.6,0.01306,1.377,0.653
688.14,195,0.01309,1.38,0.655
688.1,195.4,0.01312,1.38,0.656
687.75,195.8,0.01314,1.38,0.657
687.46,196.2,0.01317,1.379,0.658
685.53,196.6,0.01319,1.375,0.66
682.33,197,0.01322,1.369,0.661
679.41,197.4,0.01325,1.363,0.662
675.81,197.8,0.01328,1.356,0.664
452.19,198.2,0.01331,0.907,0.665
453.1,198.6,0.01334,0.909,0.667
454.01,199,0.01337,0.911,0.668
455.08,199.4,0.0134,0.913,0.67
456.82,199.8,0.01344,0.916,0.672
459.03,200.2,0.01349,0.921,0.675
461.28,200.6,0.01354,0.925,0.677
462.71,201,0.01359,0.928,0.679
464.52,201.4,0.01363,0.932,0.681
465.51,201.8,0.01365,0.934,0.683
466.35,202.2,0.01368,0.936,0.684
467.35,202.6,0.01371,0.938,0.685
468.32,203,0.01373,0.939,0.687
468.9,203.4,0.01376,0.941,0.688
470.11,203.8,0.01379,0.943,0.689
471.2,204.2,0.01381,0.945,0.691
472.21,204.6,0.01384,0.947,0.692
473.37,205,0.01387,0.95,0.694
474.46,205.4,0.0139,0.952,0.695
475.48,205.8,0.01393,0.954,0.697
476.69,206.2,0.01397,0.956,0.698
478.61,206.6,0.01401,0.96,0.701
480.88,207,0.01406,0.965,0.703
482.8,207.4,0.01411,0.969,0.706
484.32,207.8,0.01415,0.972,0.708
485.81,208.2,0.01419,0.975,0.71
486.73,208.6,0.01422,0.976,0.711
487.38,209,0.01424,0.978,0.712
488.41,209.4,0.01427,0.98,0.714
489.19,209.8,0.0143,0.981,0.715
490.33,210.2,0.01432,0.984,0.716
491.3,210.6,0.01435,0.986,0.718
492.42,211,0.01438,0.988,0.719
493.44,211.4,0.01441,0.99,0.72
494.34,211.8,0.01444,0.992,0.722
495.41,212.2,0.01447,0.994,0.723
496.75,212.6,0.0145,0.997,0.725
498.38,213,0.01454,1,0.727
500.5,213.4,0.01459,1.004,0.729
502.71,213.8,0.01464,1.008,0.732
504.38,214.2,0.01469,1.012,0.734
506.04,214.6,0.01473,1.015,0.736
506.85,215,0.01476,1.017,0.738
507.97,215.4,0.01478,1.019,0.739
508.67,215.8,0.01481,1.02,0.74
509.81,216.2,0.01483,1.023,0.742
509.71,216.26,0.01484,1.023,0.742
