Test Method,brazil.msm,,,
Sample I. D.,Sample2.mss,,,
Specimen Number,2,,,
,,,,
Load (N),Time (s),Extension (in),Stress (ksi),Strain (%)
,,,,
12.52,0,-0.00298,0.025,-0.149
12.59,0.1,-0.00298,0.025,-0.149
12.52,0.6,-0.00297,0.025,-0.149
12.64,1,-0.00296,0.025,-0.148
12.57,1.4,-0.00294,0.025,-0.147
12.73,1.8,-0.00292,0.026,-0.146
12.57,2.2,-0.0029,0.025,-0.145
12.65,2.6,-0.00288,0.025,-0.144
12.57,3,-0.00286,0.025,-0.143
12.67,3.4,-0.00284,0.025,-0.142
12.74,3.8,-0.00282,0.026,-0.141
12.71,4.2,-0.00279,0.026,-0.139
12.62,4.6,-0.00276,0.025,-0.138
12.68,5,-0.00273,0.025,-0.137
12.58,5.4,-0.0027,0.025,-0.135
12.7,5.8,-0.00268,0.025,-0.134
12.67,6.2,-0.00266,0.025,-0.133
12.63,6.6,-0.00264,0.025,-0.132
12.9,7,-0.00261,0.026,-0.131
12.84,7.4,-0.00258,0.026,-0.129
12.9,7.8,-0.00253,0.026,-0.127
12.9,8.2,-0.00248,0.026,-0.124
12.84,8.6,-0.00243,0.026,-0.122
12.8,9,-0.00239,0.026,-0.12
12.92,9.4,-0.00237,0.026,-0.118
12.89,9.8,-0.00234,0.026,-0.117
12.77,10.2,-0.00232,0.026,-0.116
12.78,10.6,-0.00229,0.026,-0.114
13.09,11,-0.00226,0.026,-0.113
12.96,11.4,-0.00223,0.026,-0.112
12.96,11.8,-0.0022,0.026,-0.11
12.9,12.2,-0.00218,0.026,-0.109
12.93,12.6,-0.00215,0.026,-0.107
12.9,13,-0.00212,0.026,-0.106
12.49,13.4,-0.00209,0.025,-0.104
12.96,13.8,-0.00205,0.026,-0.103
12.85,14.2,-0.00201,0.026,-0.1
12.9,14.6,-0.00195,0.026,-0.098
12.98,15,-0.00191,0.026,-0.095
12.95,15.4,-0.00187,0.026,-0.093
12.73,15.8,-0.00183,0.026,-0.091
12.96,16.2,-0.0018,0.026,-0.09
12.76,16.6,-0.00178,0.026,-0.089
12.76,17,-0.00175,0.026,-0.088
12.69,17.4,-0.00173,0.025,-0.086
12.9,17.8,-0.0017,0.026,-0.085
12.85,18.2,-0.00167,0.026,-0.083
12.85,18.6,-0.00164,0.026,-0.082
12.75,19,-0.00161,0.026,-0.081
12.95,19.4,-0.00158,0.026,-0.079
12.71,19.8,-0.00155,0.025,-0.078
12.76,20.2,-0.00152,0.026,-0.076
12.91,20.6,-0.00148,0.026,-0.074
12.85,21,-0.00143,0.026,-0.072
13.18,21.4,-0.00138,0.026,-0.069
13.37,21.8,-0.00133,0.027,-0.067
13.67,22.2,-0.00129,0.027,-0.065
13.54,22.6,-0.00127,0.027,-0.063
13.38,23,-0.00124,0.027,-0.062
13.37,23.4,-0.00121,0.027,-0.061
13.43,23.8,-0.00119,0.027,-0.059
13.4,24.2,-0.00116,0.027,-0.058
13.51,24.6,-0.00113,0.027,-0.057
13.44,25,-0.0011,0.027,-0.055
13.49,25.4,-0.00108,0.027,-0.054
13.56,25.8,-0.00105,0.027,-0.052
13.49,26.2,-0.00102,0.027,-0.051
13.66,26.6,-0.00099,0.027,-0.049
13.55,27,-0.00096,0.027,-0.048
13.97,27.4,-0.00091,0.028,-0.046
13.86,27.8,-0.00086,0.028,-0.043
14.16,28.2,-0.00081,0.028,-0.04
14.21,28.6,-0.00076,0.029,-0.038
14.14,29,-0.00073,0.028,-0.036
14.13,29.4,-0.0007,0.028,-0.035
